idcvlac,autores,nombre,lugar,verificado,fecha,editorial,isbn,volumen,paginas,palabras,areas,sectores,capitulo,libro
0000332712,DEYCY JANETH SANCHEZ PRECIADO,,Colombia,False,2010,Ediorial Universidad Del Cauca,978-958-732-037-4,,97 - 106 1,,,,DINÁMICAS UNIVERSIDAD EMPRESA ESTADO,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones"
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,117 - 134 1,,,,SISTEMA REGIONAL DE INNOVACIÓN: ESCENARIO PARA LA IMPLANTACIÓN EXITOSA DE UN PLAN TECNOLÓGICO PARA AGROCADENAS DE PRODUCTORES RURALES DE PEQUEÑA ESCALA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,81 - 116 1,,,,MÉTODO PROPUESTO PARA LA PLANEACIÓN TECNOLÓGICA EN AGROCADENAS DE PRODUCTORES RURALES DE PEQUEÑA ESCALA EN EL CAUCA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,135 - 166 1,,,,PLAN TECNOLÓGICO PARA LA CADENA PISCÍCOLA DEL CAUCA DURANTE EL PERÍODO (2006 ¿ 2015),Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000332712,"ADOLFO PLAZAS TENORIO, DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,10 - 64 1,,,,PLANEACIÓN TECNOLÓGICA EN UN ÁMBITO RURAL,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO",,Colombia,False,2009,Ediorial Universidad Del Cauca,978-958-732-036-7,,65 - 80 1,,,,ASPECTOS METODOLÓGICOS DE LA CONSTRUCCIÓN DE UN PLAN TECNOLÓGICO PARA AGROCADENAS DE PEQUEÑA ESCALA,Método de Planeación Tecnológica para Agrocadenas de Pequeña Escala
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, JHON ALEXANDER URRUTIA PALACIOS",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,64 - 85 1,"Relación Universidad Empresa Estado, Sistema Regional de Ciencia, Tecnología e Innovaci, Articulación de Redes Sociales, Asociatividad",,,"ESTRATEGIAS PARA INTEGRAR A LOS ACTORES DE LA RED DE OFERTA Y DEMANDA EN CIENCIA Y TECNOLOGÍA DEL DEPARTAMENTO DEL CAUCA, A TRAVÉS DE LA RELACIÓN ENTRE LA UNIVERSIDAD, LA EMPRESA Y EL ESTADO",Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, WILMAR MARINO BOLANOS RIVERA, JOSE LUIS RUIZ QUINONEZ",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,86 - 106 1,,,,EL CASO DE UN PROYECTO DE INNOVACIÓN TECNOLÓGICA: DISEÑO DE UNA INTERFAZ DE COMUNICACIÓN ENTRE UN SISTEMA SCADA Y UN SISTEMA DE GESTIÓN DE CONOCIMIENTO,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,23 - 43 1,,,,CONFORMACIÓN DE REDES BASADAS EN GESTIÓN DE CONOCIMIENTO EN EL CAUCA,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO, SANDRA PATRICIA REBOLLEDO ACOSTA",,Colombia,False,2010,Editorial Universidad Del Cauca,978-958-732-035-0,,107 - 130 1,,,,EL CASO DE UN PROYECTO DE INNOVACIÓN ORGANIZATIVA: CONCEPCIÓN DE UN PLAN TECNOLÓGICO PARA LA CADENA PISCÍCOLA DEL CAUCA,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ANDRES JOSE CASTRILLON",,Colombia,False,2006,Universidad del Cauca,0,1,62 - 83 1,"Tecnoculturalidad, Desarrollo de productos, Desarrollo Regional, Producto Turístico",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,Desarrollo rural,DESARROLLO DE PRODUCTOS TURÍSTICOS FUNDAMENTADOS EN LAS CADENAS DE PRODUCTORES RURALES DE PEQUEÑA ESCALA EN CAUCA ¿ COLOMBIA: UNA ESTRATEGIA PARA EL DESARROLLO REGIONAL,Perspectivas de Investigación para el Cauca; Una Construcción Interdisciplinaria sobre la Tecnología y su Impacto en el Entorno
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, WILFRED FABIAN RIVERA MARTINEZ",,Colombia,True,2011,Editorial Universidad Del Cauca,978-958-732-093-0,,114 - 155 1,,,,"MÉTODO PARA EL DISEÑO CONCEPTUAL DE PRODUCTOS TURÍSTICOS EN DOS REDES EMPRESARIALES RURALES EN EL CAUCA, COLOMBIA",Experiencias Significativas En El Relacionamiento Universidad Empresa Estado: Un Espacio Para La Innovación Abierta En El Sur-Occidente Colombiano
0000332712,"DEYCY JANETH SANCHEZ PRECIADO, ADOLFO PLAZAS TENORIO, APOLINAR FIGUEROA CASAS, WILFRED FABIAN RIVERA MARTINEZ, YURI YOHANA CASTILLO MOLINA, OMAIRA CALVO GIRALDO, CESAR GOMEZ, LUZ STELLA PEMBERTHY GALLO",,Colombia,True,2013,Universidad del Cauca,978-958-57044-8-0,,61 - 189 1,,,,"CAPÍTULO 2. CARACTERIZACIÓN DEL CAUCA Y DIAGNÓSTICO DE LA CTI: CAUCA, TERRITORIO BIODIVERSO, PLURIÉTNICO Y MULTICULTURAL EN PERMANENTE EVOLUCIÓN",Cociencia Cauca: Plan Estartégico Departamental De Ciencia Tecnología E Innovación
0000192848,ENRIQUE PENA FORERO,,Colombia,False,1995,Universidad Autonoma Del Estado De Mexico,9688532780,No. 2,151 - 256 No. 2,"Capital, Desarrollo regional",Ciencias Sociales -- Economía y Negocios -- Economía,Desarrollo Urbano,Desdoblamiento del capital en el análisis regional del desarrollo,Cuestión Regional. Estudios y Reflexiones
0000192848,ENRIQUE PENA FORERO,,Colombia,False,2006,Universidad del Cauca,978-958-9451-18-2,,15 - 37 1,,,,el caracter sociohistorico del desarrollo,Territorios Del Saber. Discursos Y Prácticas Del Desarrollo Globalocal
0000192848,ENRIQUE PENA FORERO,,Colombia,False,1999,Universidad del Cauca,958-96558-3-1,No.1,29 - 50 No. 1,"Neoliberalismo, Desarrollo",Ciencias Sociales -- Economía y Negocios -- Economía,"Administración pública, defensa y seguridad social - Política económica y administración pública en general",El Neoliberalismo:¿paradigma de desarrollo?,El Modelo Neoliberal Y Sus Implicaciones En El Cauca
0001492802,GABRIELA GOMEZ VALENCIA,,Colombia,True,2018,Universidad del Cauca,978-958-732-336-8,,5 - 20,"Economía Solidaria, Caficultura, Ruralidad","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria, Ciencias Sociales -- Economía y Negocios -- Economía",Desarrollo rural,Cajibío,Caficultura y desarrollo local caucano: una mirada a ocho municipios
0001492802,GABRIELA GOMEZ VALENCIA,,Colombia,True,2018,Universidad del Cauca,978-958-732-336-8,,21 - 36,"Caficultura, Economía Solidaria, Ruralidad","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria, Ciencias Sociales -- Economía y Negocios -- Economía",Desarrollo rural,Popayán,Caficultura y desarrollo local caucano: una mirada a ocho municipios
0000195600,"GUILLERMO ENRIQUE SANTACRUZ RUIZ, ENRIQUE PENA FORERO, JOSE TOMAS JARAMILLO, REINALDO ERAZO RODRIGUEZ",,Brasil,False,2003,Centro Editorial Javeriano,0,1,463 - 494 1,Ciencia y Tecnología,Ciencias Sociales -- Economía y Negocios -- Negocios y Management,,ICOBANDAS S.A.,La innovación tecnológica en la industria colombiana
0000738433,"ORIANA RIVERA LOZADA, ISABEL CRISTINA RIVERA LOZADA, PAULA ANDREA MENESES MEDINA",,España,True,2019,Universidad De Alcala,978-84-17729-78-3,,141 - 149,,,,Estrategias pedagógicas en el programa de Economía de la Universidad del Cauca,Enseñanza y Aprendizaje de las Ciencias en Debate
0000738433,"ISABEL CRISTINA RIVERA LOZADA, PAULA ANDREA MENESES MEDINA, ANGELA DAYANA AGUIRRE AZA",,España,False,2019,Universidad De Alcala,978-84-17729-78-3,,776 -,,,,"Actitud emprendedora: Análisis descriptivo para docentes de una IE en Cauca, Colombia",Enseñanza y Aprendizaje de las Ciencias en Debate
0001384518,JAVIER ARTURO ARTEAGA PASOS,,Colombia,False,2006,Editorial Universidad Del Cauca,95-89451-17-9,,160 - 185 1,,,,La naturaleza ficcionada,Biopolítica Y Filosofías De Vida
0001492511,JORGE ENRIQUE BARRERA MORENO,,Guatemala,False,2014,GUIDE ASSOCIATION,9788897772033,,1 -,,,,Análisis y resultados del proyecto Clavemat en el departamento del Cauca Colombia,Official Proceedings Of The Vii International Guide Conference
0000315168,JORGE ROCXO MARTINEZ DIAZ,,Colombia,False,2014,Opciones Gráficas Editores Ltda,978-958-85302-7,,15 - 46 1,Paz,Ciencias Sociales -- Periodismo y Comunicaciones -- Periodismo,Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas,Los retos de los medios de comunicación en el posconflicto,PISTAS PARA NARRAR LA PAZ: Periodismo en el postconflicto
0000315168,JORGE ROCXO MARTINEZ DIAZ,,Colombia,True,2015,Opciones Gráficas Editores Ltda.,978-958-58530-8-9,,51 - 69 1,Cambio Climático,Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Ciencias del Medio Ambiente,Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas,El cambio climático impone nuevos retos al periodismo,"GUÍA PERIODÍSTICA AGENDA VERDE, Una mirada a la problemática del medio ambiente y el cambio climático en las regiones de Colombia"
0000228630,"JOSE TOMAS JARAMILLO SALAZAR, ENRIQUE PENA FORERO, REINALDO ERAZO RODRIGUEZ, CARLOS ALBERTO GOMNZALEZ CALLEJAS, GUILLERMO ENRIQUE SANTACRUZ RUIZ",,Colombia,False,2003,Ceja,958-683-642-8,1,463 - 494 33898,"Innovación tecnológica, Tecnología, Innovación de Proceso, Innovación de Producto, Impactos organizacionales, Cultura y comportamientos hacia la innovación","Ciencias Sociales -- Economía y Negocios -- Negocios y Management, Ciencias Sociales -- Economía y Negocios -- Economía",Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas,Caso Icobandas S.A.,La Innovación Tecnológica En La Industria Manufacturera Colombiana
0000228630,JOSE TOMAS JARAMILLO SALAZAR,,Colombia,False,2005,Ascolfa,958-33-9077-1,1,235 - 238 1,"REDES EMPRESARIALES, BUENAS PRACTICAS DE GESTION, APRENDIZAJE TECNOLOGICO, INDUSTRIA DE LA CONFECION",Ciencias Sociales -- Economía y Negocios -- Negocios y Management,Actividades de asesoramiento y consultoría a las empresas,"LA INNOVACIÓN TECNOLOGICA EN LA INDUSTRIA COLOMBIANA, UN ESTUDIO EN DOS CADENAS INDUSTRIALES.CADENA METALURGICA-METALMECANICA Y PETROQUIMICA-PLASTICOS.EL CASO DE ICOBANDAS S.A DE POPAYÁN.","Investigaciones En Administración. Encuentro Nacional De Investigación En Administración. Cali, Colombia 2005"
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Argentina,True,2013,CLACSO,978-987-1891-41-2,,101 - 124 1,"territorio, patrimonio biocultural, desarollo local, sociedades afroindoamericanas",Ciencias Sociales -- Sociología -- Sociología,Desarrollo rural,"Transformaciones del territorio y el patrimonio biocultural, a partir del proceso de industrialización. Recuperación de la finca tradicional en el municipio de Corinto, vereda La Paila.","Patrimonio Biocultural, Territorio Y Sociedades Afroindoamericanas En Movimiento"
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Argentina,True,2013,CLACSO,978-987-1891-41-2,,101 - 124 1,"territorio, patrimonio biocultural, sociedades afroindoamericanas",Ciencias Sociales -- Sociología -- Sociología,,"Transformaciones del territorio y el patrimonio biocultural, a partir del proceso de industrialización. Recuperación de la finca tradicional en el municipio de Corinto, vereda La Paila.","Patrimonio Biocultural, Territorio Y Sociedades Afroindoamericanas En Movimiento"
0001409555,"KELLY GIOVANNA MUNOZ BALCAZAR, GISELA LANDAZURI BENITEZ",,México,True,2012,Universidad Autónoma Metropolitana,978-607-9293-00-0,,199 - 220 1,"migración , dinamicas rur-urbanas, territorio, Desarrollo rural","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",Desarrollo rural,Migración interna: dinámicas conflictivas y contradictorias entre originarios y avecindados en Xochimilco,"Roles redefinidos, espacios rurales y gestión para el desarrollo"
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Colombia,True,2020,Usc Universidad Santiago De Cali Editorial,9789585583641,,37 - 60 1,"Imaginarios sociales, ciencias sociales, migración ","Ciencias Sociales -- Sociología -- Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)",,"Imaginarios sociales de originarios y avecindados en Santa Cruz Acalpixca, Xochimilco. Confrontaciones y discriminación en un territorio pluricultural",Imaginarios sociales. Cuatro aproximaciones desde las identidades y los espacios
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,México,True,2011,Universidad Autónoma Metropolitana,978-607-477-662-1,,155 - 199 1,"migración , Desarrollo rural, dinamicas rur-urbanas","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",Desarrollo rural,"Las caras de la migración de los expoliados, encrucijadas rur-urbanas",Identidad y migración en la formación y revalorización de los territorios rurales
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Colombia,True,2020,Usc Universidad Santiago De Cali Editorial,9789585583658,,37 - 60 1,"ciencias sociales, Imaginarios sociales, migración ","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",,"Imaginarios Sociales de originarios y avecindados en Santa Cruz Acalpixca, Xochimilco.",Imaginarios sociales. Cuatro aproximaciones desde las identidades y los espacios.
0001409555,"KELLY GIOVANNA MUNOZ BALCAZAR, EMILIANO PALACIOS DE LOS REYES",,Colombia,False,2022,Editorial Santiago de Cali,978-628-7501-72-0-,,233 - 260 1,"territorio, Educación y espacialidad virtual , desarollo local",Ciencias Sociales -- Ciencias Políticas -- Ciencias Políticas,,EL ENFOQUE TERRITORIAL Y LA COMUNICACIÓN PARA EL CAMBIO SOCIAL. UNA EXPERIENCIA DE EDUCACIÓN VIRTUAL EN COLOMBIA PARA LA INCIDENCIA DE LOS JÓVENES UNIVERSITARIOS EN PROCESOS DE DESARROLLO LOCAL EN SUS REGIONES,CONFLICTOS Y EMERGENCIAS EN LAS TERRITORIALIDADES LATINOAMERICANAS
0001409555,"LAURA PATRICIA LEGARDA BURBANO, KELLY GIOVANNA MUNOZ BALCAZAR",,España,False,2022,Universidad De Alicante,978-84-09-44086-3,,45 - 64 24,"Posicionamiento de marca, marcas territoriales, ciencias sociales, desarollo local, Desarrollo económico y competitividad, Desarrollo rural, territorio",Ciencias Sociales -- Periodismo y Comunicaciones -- Medios y Comunicación Social,Desarrollo rural,"Fortalecimiento y posicionamiento de la cadena productiva del sacha inchi, a través de una estrategia de comunicación para la marca Sacha Kiwe, en la comunidad indígena Nasa Kite Kiwe de Timbío, Cauca, Colombia","Fortalecimiento y posicionamiento de la cadena productiva del sacha inchi, a través de una estrategia de comunicación para la marca Sacha Kiwe, en la comunidad indígena Nasa Kite Kiwe de Timbío, Cauca, Colombia"
0001409555,"KELLY GIOVANNA MUNOZ BALCAZAR, GISELA LANDAZURI BENITEZ",,México,False,2013,,978-607-9293-00-0,,199 - 219,"dinamicas rur-urbanas, territorio, desarollo local",Ciencias Sociales -- Sociología -- Sociología,Desarrollo rural,Migración interna: dinámicas conflictivas y contradictorias entre originarios y avecindados en Xochimilco,El Campo Mexicano Sin Fronteras. Alternativas Y Respuestas Compartidas
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Argentina,True,2017,Consejo Latinoamericano De Ciencias Sociales Clacso,978-987-722-281-4,,148 - 169 1,"territorio, violencia, conflicto",Ciencias Sociales -- Ciencias Políticas -- Ciencias Políticas,,Reconfiguraciones espaciales de la violencia en el Cauca y hegemonías simbólicas de la territorialidad en el posconflicto,Las ciencias sociales en sus desplazamientos. Nuevas epistemes y nuevos desafíos.
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Colombia,True,2018,Editorial Bonaventuriana,978-958-8928-57-9,,10 - 47 1,"desplazamiento forzado, territorio, ciencias sociales, ciencias políticas","Ciencias Sociales -- Sociología -- Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)",,Tres décadas de desarraigos: historias y explicaciones,"Desarraigos, Saqueos y Resistencias. Tres décadas, otras miradas"
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Panamá,True,2019,Universidad Nacional de Ciencia y Tecnología,9789962559948,,2 - 8 1,,,,REVITALIZACIÓN DE LA LENGUA NASA YUWE A TRAVÉS DE LA INNOVACIÓN SOCIAL EDUCATIVA,I Congreso de Creatividad e Innovación en Educación
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Colombia,True,2019,Usc Universidad Santiago De Cali Editorial,978-958-5522-95-4,,209 - 232 1,"ciencias políticas, desplazamiento forzado, dinamicas rur-urbanas, Democracia, Desarrollo rural",Ciencias Sociales -- Ciencias Políticas -- Ciencias Políticas,Educación - Educación superior,"Invisibilización de los desplazados mexicanos, la violencia disfrazada de migración.",MANIFESTACIONES POLÍTICAS DESDE LA MOVILIZACIÓN Y LOS ESPACIOS SIMBÓLICOS DE PODER CULTURAL
0001409555,KELLY GIOVANNA MUNOZ BALCAZAR,,Colombia,True,2020,Editorial Bonaventuriana,978-958-8928-84-5,,17 - 47 1,"desplazamiento forzado, ciencias sociales, ciencias políticas, Desarrollo rural, dinamicas rur-urbanas","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",Educación - Educación superior,DESPLAZAMIENTO INTERNO FORZADO EN MÉXICO COMO CAUSA DE LA NARCOVIOLENCIA Y LA AUSENCIA ESTATAL,"Migración, desplazamiento forzado y violencia desde el contexto político global en México y Colombia contemporáneos"
0001474779,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR",,Colombia,True,2016,Centro Editorial Universidad Del Valle,9789587652871,,345 - 390 1,,Ciencias Sociales -- Geografía Social y Económica -- Ciencias Ambientales (Aspectos Sociales),,"Resistencia contra-hegemónica de la comunidad campesina Cruz de Mayo, Ancash - Perú, ante las estrategias de dominación moderno/coloniales",Manejo del Riesgo en la Gestión del Aguaanejo del Riesgo en la Gestión del Agua
0001474779,LINA JULIANA ROBAYO CORAL,,Colombia,True,2020,Unicatólica,978-958-52883-4-8,,235 - 248,,"Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)",Educación - Educación superior,Lugares comunes desde las ciencias sociales: subversiones desde la condición de humanidad,Enseñar Ciencias Sociales
0001474779,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL",,,False,2022,Usc Universidad Santiago De Cali Editorial,9786287501492,,11 - 52,"Interdisciplinareidad, Proliferaciones, Estudios organizacionales","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",Desarrollo rural,La emergencia de los estudios organizacionales en el sur occidente Colombiano,Aproximaciones a los estudios organizacionales del Sur Occidente Colombiano
0001474779,LINA JULIANA ROBAYO CORAL,,España,False,2022,Aranzadi,978-84-1124-312-4,,347 - 355,"Educación, diversidad, Interculturalidad","Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)","Educación - Educación superior, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial","La Sociedad Educadora, la sociedad del conocimiento, y la sociedad del aprendizaje a propósito de la dimensión social de los estudiantes de Trabajo Social en el contexto Nortecaucano- Sur occidente Colombiano","Psicología, sociología y sociedad"
0001474779,"LINA JULIANA ROBAYO CORAL, WILSON NOE GARCES AGUILAR",,Chile,True,2018,RED PILARES,978-956-398-413-2,,1437 - 1448 1,,,,Diversidad organizacional u organizaciones en contextos de diversidad socio-cultural,"Nuevas formas de organización y trabajo: Latinoamérica frente a los actuales desafíos económicos, sociales y medioambientales"
0001474779,LINA JULIANA ROBAYO CORAL,,Colombia,True,2018,RED PILARES,978-956-398-413-2,,1371 - 1385,,Ciencias Sociales -- Otras Ciencias Sociales -- Otras Ciencias Sociales,,A influência da governança relacional nos resultados sociais de cooperativas de material reciclável,"Nuevas formas de organización y trabajo: Latinoamérica frente a los actuales desafíos económicos, sociales y medioambientales"
0001474779,"LINA JULIANA ROBAYO CORAL, JULIO CESAR RUBIO GALLARDO, NILSON GIOVANI FAJARDO QUINONES",,Colombia,True,2019,Consorcio Universidades Huelva-Cartagena de Indias,978-84-8163-601-7,,1217 - 1221,,,,"Geografiando. Geografía, educación y ciudad.",Helices y Anclas para el desarrollo Local
0001474779,"JENNY MARLODY ARIAS DURAN, LINA JULIANA ROBAYO CORAL",,España,True,2019,Consorcio Universidades Huelva-Cartagena de Indias,978-84-8163-601-7,,457 - 465,Educación,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",,Analíticas de las dimensiones interculturales y de derechos humanos en las políticas educati- vas y los programas académicos de etnoeducación en Colombia,Helices y Anclas para el desarrollo Local
0001474779,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL",,España,True,2019,Consorcio Universidades Huelva-Cartagena de Indias,978-84-8163-601-7,,1338 - 1348,,,,"Estudio de la relación familia Norte Caucana y violencia en el Municipio de Puerto Tejada y Villa Rica (Departamento del Cauca, Colombia). A propósito de la crianza y el cuidado de la vida misma.",Helices y Anclas para el desarrollo Local
0001474779,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL",,Brasil,True,2020,Editora Artemis,978-65-87396-12-5,,67 - 77,"Proliferaciones, Estudios organizacionales, diversidad","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria","Educación - Educación superior, Desarrollo rural","DESCENTRAR-NOS E IMPENSAR-NOS LOS ESTUDIOS ORGANIZACIONALES ENCLAVE DE UNA LATINOAMERICA DIVERSA"" ""Administração de empresas para um mundo em transformação",
0001474779,"LINA JULIANA ROBAYO CORAL, JOSE BENITO GARZON MONTENEGRO",,Colombia,True,2020,Unicatólica,978-958-52426-4-7,,29 - 35,,Ciencias Sociales -- Geografía Social y Económica -- Estudios Urbanos (Planificación y Desarrollo),Desarrollo Urbano,Cali en los mapas desde los albores de su cartografía en el Siglo XX,Atlas histórico de Cali siglos XVIII-XXI
0001474779,"WILSON NOE GARCES AGUILAR, LINA JULIANA ROBAYO CORAL",,Colombia,True,2020,Editora Artemis,9786587396200,,18 - 43,"diversidad, Estudios del Desarrollo, Estudios organizacionales, Interdisciplinareidad, Proliferaciones, Territorio","Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria","Productos y servicios de recreación,culturales, artísticos y deportivos",EL ESTUDIO DE LA ORGANIZACIÓN SOLIDARIA EN COLOMBIA Y SU CONTEXTO DE DIVERSIDAD,Redes de solidaridad y organizaciones en contextos de diversidad
0001474779,"LINA JULIANA ROBAYO CORAL, JULIO CESAR RUBIO GALLARDO, NILSON GIOVANI FAJARDO QUINONES",,Colombia,True,2020,Unicatólica,978-958-53065-6-1,,91 - 113,,Ciencias Sociales -- Otras Ciencias Sociales -- Otras Ciencias Sociales,,"Educación, Geografía Y Vida Cotidiana",Geografiando. Saberes y Prácticas de Educación Geográfica
0001474779,LINA JULIANA ROBAYO CORAL,,Colombia,True,2020,Unicatólica,978-958-53065-6-1,,11 - 42,"Educación, Educación Geográfica , Territorio",Ciencias Sociales -- Otras Ciencias Sociales -- Otras Ciencias Sociales,"Educación - Educación superior, Educación - Educación preescolar y básica",Educación y Geografía. Lectura de tres obras significativas,Geografiando. Saberes y Prácticas de Educación Geográfica
0001474779,LINA JULIANA ROBAYO CORAL,,Colombia,False,2020,SELLO EDITORIAL UNICOMFACAUCA,978-958-53187-0-0,,52 - 53,"Educación Geográfica , Estudios del Desarrollo, Familia, Interculturalidad",Ciencias Sociales -- Geografía Social y Económica -- Geografía Económica y Cultural,Educación - Educación superior,Infancia,Geografías
0000520748,MONICA MARIA SINISTERRA RODRIGUEZ,,México,False,2016,Red de Investigadores en Gobiernos Locales Mexicanos - IGLOM,9786079442293,,75 - 104,,Ciencias Sociales -- Ciencias Políticas -- Administración Pública,,Análisis de la Reforma a la Deuda de los Estados en México y su Rol en la Promoción de Nuevos Mecanismos de Financiación del Desarrollo Local,Dinámicas del Gobierno Municipal: En El Límite de la Recentralización. Editado por Red de Investigadores en Gobiernos Locales Mexicanos IGLOM.
0000520748,MONICA MARIA SINISTERRA RODRIGUEZ,,México,False,2016,Red de Investigadores en Gobiernos Locales Mexicanos - IGLOM,9-786079-442293,,75 - 104 1,,,,Análisis de la Reforma a la Deuda de los Estados en México y su Rol en la Promoción de Nuevos Mecanismos de Financiación del Desarrollo Local,Dinámicas del Gobierno Municipal en el Límite de la Recentralización
0000268453,OLGA LUCIA CADENA DURAN,,Colombia,False,2003,Ediciones León gráficas,0,1,14 - 34 1,"Desarrollo regional, Competitividad, Visión de Futuro, Tolima sano, productivo y en paz",Ciencias Sociales -- Economía y Negocios -- Economía,"Desarrollo rural, Desarrollo Urbano, Educación",Variables claves y proyectos estratégicos,Agenda prospectiva para la competitividad del Tolima 2003-2013
0000268453,OLGA LUCIA CADENA DURAN,,Colombia,False,2004,Ediciones el Poira,0,1,35 - 45,"Desarrollo regional, actores sociales locales",Ciencias Sociales -- Economía y Negocios -- Economía,,Aspectos teóricos metodológicos para un marco de investigación perticipativa,"Articulación de nuevos actores al sistema regional de ciencia, tecnología e innovación del Tolima SRCTI"
0000268453,OLGA LUCIA CADENA DURAN,,Colombia,False,2003,El Poira,0,1,93 - 122,"actores no oficiales de ciencia y tecnología, actores sociales locales, desarrollo local, Desarrollo regional",Ciencias Sociales -- Economía y Negocios -- Economía,,Patrones culturales y actitudinales de lso actores no oficiales,"Articulación de nuevos actores al sistema regional de cinecia, tecnología e innovación del tolima, SRCTI"
